Question,AMBITIOUS,CYNICAL,ATHLETIC,KINKY,NERDY,CULTURED,POLITICAL,ROMANTIC,SOCIAL,TWISTED,CREATIVE,BORING,MATCHREADY
(A) Debugging code :/,1,0,0,0,2,0,0,0,0,0,0,1,0
(B) The party next door >:|,1,0,0,0,0,0,0,0,-2,0,0,1,0
(C) Netflix adding every season of Friends :D,-1,0,0,0,0,1,0,0,0,0,0,1,0
(D) My professor :(,1,0,0,0,0,0,0,0,0,0,0,1,0
(E) My professor ;),0,0,0,1,0,0,0,0,0,1,0,-1,0
"(11) The John Harvard statue is also called the ""statue of three lies."" Among those lies is...",,,,,,,,,,,,,
"(A) ""Teaching staff will be available to answer all questions.""",0,2,0,0,0,0,0,0,0,0,0,0,0
"(B) ""Of couse I love you.""",0,1,0,0,0,0,0,-1,0,1,0,0,0
"(C) ""Living in the Quad isn't so bad.""",0,0,0,0,0,0,0,0,0,0,0,0,0
"(D) ""We have your resume, and we'll contact you as soon as we can.""",1,2,0,0,0,0,0,0,0,0,0,0,0
"(E) ""I'm premed because I want to save lives.""",1,1,0,0,0,0,0,0,0,0,0,0,0
(12) You meet the love of your life. You...,,,,,,,,,,,,,
(A) Ask them out!,1,0,0,0,0,0,0,0,1,0,0,1,0
(B) Thank Datamatch.,0,0,0,0,0,0,0,0,0,0,0,0,0
(C) Swipe right.,0,0,0,0,0,0,0,-1,2,0,0,0,0
(D) Increase the video quality.,0,1,0,1,0,0,0,-1,0,1,0,0,0
(E) Wake up.,0,2,0,0,0,0,0,0,0,1,0,0,0
(13) Datamatch is considering a corporate partnership. Would you prefer it to be...,,,,,,,,,,,,,
(A) OK Cupid: we promise we won't run (m)any experiments on you.,0,1,0,0,0,0,0,0,1,0,0,0,0
(B) Heinz: use condiments,0,0,0,1,0,0,0,0,0,0,1,0,0
(C) Felipe's: love is like a burrito,0,0,0,0,0,0,0,1,0,0,0,0,0
(D) Comcast: a guarantee you'll get screwed.,0,2,0,0,0,0,0,0,0,1,0,0,0
(E) Harvard DAPA: free water bottle!,0,-1,0,0,0,0,0,0,0,0,0,1,0
(14) Who was the MVP of Super Bowl 49?,,,,,,,,,,,,,
(A) Tom Brady.,0,0,1,0,0,0,0,0,0,0,0,1,0
(B) Tom Brady's balls.,0,0,0,1,0,0,0,0,0,1,0,0,0
(C) Malcolm Butler.,0,0,2,0,0,0,0,0,0,0,0,0,0
(D) The guy who called a throw instead of a run.,0,1,2,0,0,0,0,0,0,0,0,0,0
(E) Katy Perry's left shark.,-1,0,0,0,0,1,0,0,0,0,0,0,0
(15) What is the most desirable trait in an SO?,,,,,,,,,,,,,
(A) High GPA.,1,0,0,0,0,0,0,0,0,0,0,1,0
"(B) Caring, warm, kind...just kidding, ca$h money",2,1,0,0,0,0,0,0,0,0,0,0,0
(C) Knows how to traverse a red-black tree in O(log n) time.,1,0,0,0,2,0,0,0,0,0,0,0,0
(D) Knows how to traverse a pair of pants in O(my god) time.,1,0,0,2,0,0,0,0,1,0,1,0,0
(E) Exists.,-2,1,0,0,0,0,0,0,0,0,0,0,0
"(16) Conversely, what's a dealbreaker in an SO?",,,,,,,,,,,,,
(A) Thinks the Kama Sutra is a Harvard dance troupe.,0,0,0,0,0,1,0,0,0,0,1,0,0
(B) When a long list of ex-lovers say s/he's insane.,0,0,0,0,0,2,0,0,1,0,0,0,0
(C) Doesn't comment code.,0,0,0,0,1,0,0,0,0,0,0,0,0
(D) Watches Keeping up with the Kardashians.,0,0,0,0,0,1,0,0,0,0,0,0,0
(E) Lives in the quad.,0,0,0,0,0,0,0,0,0,0,0,0,0
(17) How did your last relationship end?,,,,,,,,,,,,,
(A) Unfriended on Facebook.,-1,1,0,0,0,0,0,-1,1,0,0,1,0
(B) Deportation.,0,1,0,0,0,0,1,0,0,0,0,0,0
"(C) Apparently naked selfies are ""not what I was looking for in a relationship"" and ""creepy"" and ""who are you.""",0,0,0,0,0,0,0,0,0,2,0,0,0
(D) Dawn.,0,0,0,1,0,0,0,-1,1,0,1,0,0
(E) Tripped and broke my hand.,0,0,-2,0,0,0,0,0,0,1,0,0,0
(18) Best way to get a six-pack?,,,,,,,,,,,,,
(A) Crunches.,1,0,2,0,-1,0,0,0,1,0,0,0,0
(B) Kale burgers.,0,0,0,0,0,1,0,0,0,0,0,-1,0
(C) Zumba,0,0,1,0,0,0,0,0,1,0,0,-1,0
(D) Sharpie.,-1,1,-1,0,1,0,0,-1,0,0,1,0,0
(E) Fake ID.,1,1,0,0,0,0,0,0,1,0,1,0,0
(19) Because you know I'm all about that...,,,,,,,,,,,,,
(A) Bass.,0,0,1,0,0,0,0,0,1,0,0,0,0
(B) Electron pair donor.,0,0,0,0,1,1,0,-1,0,0,1,0,0
(C) Means of production by which the superstructure is shaped.,1,0,0,0,0,1,0,-1,0,0,0,0,0
(D) I'll show you a base we can get to.,1,0,0,1,0,0,0,0,1,0,1,0,0
(E) Premed life.,2,0,0,0,0,0,0,0,0,0,0,1,0
(20) What do you HAVE to do before graduating?,,,,,,,,,,,,,
(A) Pee on the statue.,0,0,0,0,0,0,0,0,0,0,0,1,0
(B) Pee off of Weeks Bridge.,0,0,0,0,0,0,0,0,0,0,0,1,0
(C) Pee on the stacks.,0,1,0,0,0,-1,0,-1,0,1,1,0,0
(D) Pee on Primal Scream.,0,0,0,1,0,0,0,0,0,1,1,0,0
(E) Pee while having sex during Primal Scream near Weeks Bridge,2,0,0,2,0,0,0,-2,0,1,1,-1,0
(21) What would you do with $350 million?,,,,,,,,,,,,,
(A) Rename the School of Public Health.,2,0,0,0,0,1,0,0,0,0,0,0,0
(B) Buy a private island for me and my Datamatch.,2,0,0,0,0,0,1,2,0,0,1,0,0
(C) Invest it in bitcoin.,1,0,0,0,1,1,0,0,0,0,0,0,0
(D) PBR swimming pool.,0,1,0,0,0,0,0,0,0,0,1,0,0
"(E) Pay off my student debt. Well, most of it.",0,2,0,0,0,0,0,0,0,0,0,1,0
"(22) How do you tell them ""I love you?""",,,,,,,,,,,,,
(A) Ted Mosby.,0,0,0,0,0,0,0,-2,-1,0,1,0,0
(B) Drunk text.,0,1,0,1,0,0,0,-2,0,0,0,0,0
(C) Full page advertisement in the Crimson.,2,0,0,0,1,1,0,2,0,0,1,0,0
(D) Prolonged twerking.,0,0,2,1,-1,-1,0,0,0,0,0,0,0
(E) 0x49 0x3c 0x33 0x75,0,0,0,0,2,1,0,0,0,0,1,0,0
(23) What is love?,,,,,,,,,,,,,
"(A) Baby don't hurt me, don't hurt me.",0,1,0,0,0,0,0,1,0,0,0,0,0
(B) Spontaneous secretion of nonregular quantities of oxytocin by the posterior pituitary gland.,1,1,0,0,1,0,0,-2,0,0,0,1,0
(C) When you finish each other's--sandwiches!,0,0,0,0,1,0,0,2,0,0,0,0,0
(D) When s/he wakes you up from the hangover in time for class.,0,1,0,1,0,-1,0,0,0,0,1,0,0
(E) Kanye's relationship with Kanye.,1,0,0,0,0,1,0,1,0,0,2,0,0
(24) Crimson headline you expect to see in the near future:,,,,,,,,,,,,,
"(A) ""Professor Donald Pfister Arrested for Underground Mushroom Narcotics Trade.""",1,1,0,0,0,1,0,0,0,0,1,0,0
"(B) ""Eldo Kim Demands Trial By Combat""",1,0,0,0,0,0,2,0,-1,0,0,0,0
"(C) ""Drew Faust Announces New Capital Campaign, Says 'Suck It Stanford'""",2,0,0,0,0,2,0,0,1,0,0,0,0
"(D) ""Ec10 Revealed As Not A Real Class: 'Lectures Were Just Reruns of Wheel of Fortune'""",0,2,0,0,0,0,0,0,0,0,1,0,0
"(E) ""Entire College Enrolls In CS50""",2,0,0,0,1,0,0,0,1,0,1,0,0
(25) First thing to do when you graduate?,,,,,,,,,,,,,
(A) Sell my soul for money.,2,0,0,0,0,0,0,0,0,1,0,0,0
"(B) Hahaha, ""graduate.""",0,2,0,0,0,0,0,0,0,0,0,0,0
(C) Ask my parents if the basement is still empty.,0,1,0,0,0,0,0,0,0,0,0,1,0
(D) Volunteer for charity--then give up and sell my soul for money.,1,0,0,0,0,1,0,0,0,1,0,0,0
(E) My TFs.,1,0,0,1,0,0,0,0,0,0,0,0,0
(26) How would you show off for your potential Valentine?,,,,,,,,,,,,,
(A) Ice bucket challenge.,1,0,0,0,0,0,0,1,1,0,0,0,0
(B) Invade Crimea.,1,0,1,0,0,1,1,0,0,0,0,0,0
(C) Take a flight out of Malaysia.,0,1,0,0,0,0,0,0,0,1,0,0,0
(D) Assassinate the leader of North Korea.,1,0,0,0,0,1,1,0,0,1,0,0,0
(E) Break the Internet.,0,0,0,1,0,0,0,0,1,0,0,0,0
(27) Sexiest pickup line:,,,,,,,,,,,,,
(A) Did it hurt when you fell from heaven? 'Cause your face is pretty messed up.,0,1,0,0,0,0,0,-2,0,1,0,1,0
(B) I want to do to you what the midterms do to the Democrats.,1,0,0,0,0,0,2,0,0,0,0,0,0
(C) Are you Eldo Kim? Because you're the bomb.,1,0,0,1,0,0,1,0,0,1,0,0,0
(D) I'm an endoplasmic reticulum. Would you like me rough or smooth?,0,0,0,1,2,0,0,0,0,0,1,0,0
"(E) Hey baby, I'm a level 76 Paladin with dragon armor.",0,0,-1,0,2,-1,0,0,0,0,1,0,0
(28) What did you do during the blizzard?,,,,,,,,,,,,,
(A) Hit snooze.,-1,0,-2,0,0,0,0,0,0,0,0,0,0
(B) Do you want to build a snowman?,0,0,1,0,0,-1,0,0,1,0,0,1,0
(C) Warm up with lots of hot chocolate!,-1,0,0,0,0,0,0,0,0,0,0,0,0
(D) Smuggle in all my cocaine.,1,0,0,0,1,0,0,0,0,1,1,-1,0
(E) Snuggle in all my cocaine.,2,0,0,0,0,0,0,0,1,1,1,-2,0
(29) Best place to get a date is...,,,,,,,,,,,,,
(A) Datamatch.,-2,0,0,0,2,0,0,2,-1,0,-1,-1,0
"(B) The ""D""-hall.",1,0,0,1,0,0,0,0,1,1,0,0,0
(C) The facuty lounge.,1,0,0,1,0,1,0,1,0,0,0,0,0
(D) The liquor store.,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
(E) A calendar.,0,1,0,0,1,0,0,0,0,0,0,1,0
(30) The answer to this question is...,,,,,,,,,,,,,
(A) C.,-1,0,0,0,1,1,0,0,0,1,0,1,0
(B) 42,0,0,0,0,0,0,0,0,0,0,0,0,0
(C) Bae.,-2,2,-1,1,1,-2,-1,-1,1,1,0,1,0
(D) Section kid knows.,0,0,0,0,1,1,0,0,1,0,1,0,0
(E) The end.,0,1,0,1,0,1,0,0,0,1,1,0,0
"(31) If you had the chance to go on a coffee date with your number one match, how likely would you be to take this chance?",,,,,,,,,,,,,
(A) Not sure yet.,0,0,0,0,0,0,0,0,0,0,0,0,0
(B) Very unlikely.,0,0,0,0,0,0,0,0,0,0,0,0,-2
(C) Unlikely.,0,0,0,0,0,0,0,0,0,0,0,0,-1
(D) Likely.,0,0,0,0,0,0,0,0,0,0,0,0,1
(E) Very likely.,0,0,0,0,0,0,0,0,0,0,0,0,2

